owner,ever_borrowed,n_borrow,n_repay,net_open
0xb59cdc85cacd15097ece4c77ed9d225014b4d56d,0,0,0,0
0x50e7e98368731dfb6154ea819d8c5122f5a880c8,1,48,50,-2
0x4065149108a615930114bb511818fc0909aa9269,1,3,2,1
0xbaf4ff1a6a71e0a205cd8d0bf4cffaa112ba0d66,1,6,1,5
0x35a2538c715169c9b048ed1ef7cfb5572c349c8b,0,0,0,0
0x2ff6bf693c0fbd4f39bd07266fc994fc60035636,1,1,1,0
0xc3be098f9594e57a3e71f485a53d990fe3961fe5,1,3,2,1
0xbfb0d8b06ec79d5f2059209221b15644956e8261,1,19,10,9
0x943900ab03bf9abb0114df5aa350ac6cd7cda26a,1,1,1,0
0x4bf5da6f3f96909a9165849fb68991975d1f0344,1,5,5,0
0xe613300cce4219251c4edb391ab211827f3eea42,1,13,13,0
0xcd31fd666d27be7a50ee3782669e1b1859c1aa9b,0,0,0,0
0xb494096548aa049c066289a083204e923cbf4413,0,0,0,0
0xbd18493b34eea4b491072584ab532fe55678b36c,1,1,1,0
0x5a934d194d040d3a4fffc53e919983d2581ba40a,1,1,0,1
0xfa6ab4ea58c2eb97bae4433ee614cf3b7794e307,1,13,2,11
0x4332c24e94e3b4c773c2b438f1ed81489ca75100,1,12,5,7
0x076655696e3abcc91f86e6d91c7019f9bae6f014,1,1,0,1
0x28393adb10bbe14b80103999f20de85275e608ac,1,2,0,2
0xec3c215ec5c8c7337dd2465d29a9eb70860b73d8,1,17,8,9
0xce845d45c140dc6ea2b47db787c5789d36a939d4,0,0,0,0
0x7733305ca2768ae7249cea555452fdc5ee01cc0b,1,8,9,-1
0x081e3cd6c918f22225bce021261b55bdf8f2bcfe,1,3,0,3
0xf9018895d2a28b7073b6da628533b06a1f1b89ad,1,1,2,-1
0x7e345a2a7c6ab50eeba694b4a5f98898eca59bcc,1,2,1,1
0xb4f5fd6f698f939a172abe5cc5972a4d3af0845d,0,0,0,0
0xa50238e73d00bb898009a09dbcf677a2dc1b9e76,0,0,0,0
0x83b4feeb82110bff06b8fba0b17876ce9d27b2d9,1,5,9,-4
0x51ec1d7dcf94d22c9d22fb41d6143d97e66bc982,0,0,0,0
0x41cb197c82296a3f8ae84f00eabe25d1c50ca8d5,1,3,1,2
