day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2020-12-02 00:00:00.000 UTC,10103.280622,200.99990100000002,9902.280721000001,5,6,5,2
2020-12-03 00:00:00.000 UTC,472095.673239,36691.390792,435404.28244700003,34,16,30,9
2020-12-04 00:00:00.000 UTC,254170.07622999998,104977.210151,149192.86607899997,28,5,22,5
2020-12-05 00:00:00.000 UTC,645417.0544649999,265073.70486,380343.34960499994,60,14,49,9
2020-12-06 00:00:00.000 UTC,1529638.1786289997,1283134.323851,246503.8547779997,43,17,39,12
2020-12-07 00:00:00.000 UTC,2595560.3511340003,406515.154363,2189045.1967710005,37,21,29,14
2020-12-08 00:00:00.000 UTC,833360.9054750002,889546.2129869999,-56185.30751199974,30,20,22,15
2020-12-09 00:00:00.000 UTC,1403285.9240519996,1282189.525605,121096.39844699949,51,28,37,16
2020-12-10 00:00:00.000 UTC,499823.315353,506525.67032000003,-6702.354967000021,42,25,28,19
2020-12-11 00:00:00.000 UTC,509056.745988,218998.565555,290058.180433,16,19,13,19
2020-12-12 00:00:00.000 UTC,114208.27593,63763.015524,50445.260406,22,23,19,17
2020-12-13 00:00:00.000 UTC,2841053.5682249996,1329173.340279,1511880.2279459995,53,31,32,20
2020-12-14 00:00:00.000 UTC,1014312.6173109999,690690.433217,323622.1840939999,24,16,17,12
2020-12-15 00:00:00.000 UTC,1489316.3517550002,341975.288846,1147341.062909,33,23,29,13
2020-12-16 00:00:00.000 UTC,726127.3770769999,199173.662383,526953.7146939998,35,15,27,10
2020-12-17 00:00:00.000 UTC,564805.3120140001,1139530.804538,-574725.4925239998,26,17,23,11
2020-12-18 00:00:00.000 UTC,975490.587758,659526.4961870001,315964.09157099994,28,14,23,9
2020-12-19 00:00:00.000 UTC,597296.181376,77796.19351000001,519499.98786600004,26,17,22,11
2020-12-20 00:00:00.000 UTC,897935.089534,447090.20918899996,450844.88034500007,26,22,16,14
2020-12-21 00:00:00.000 UTC,1191310.2612529995,1220496.2700850002,-29186.00883200066,54,25,41,13
2020-12-22 00:00:00.000 UTC,4388090.718458001,4457311.299579,-69220.58112099953,51,20,39,14
