hour,n_withdraws,n_wd_wallets,outflow_usdc
2023-02-20 01:00:00.000 UTC,3,2,330498.95209599996
2023-02-20 02:00:00.000 UTC,1,1,49323.283886
2023-02-20 04:00:00.000 UTC,5,3,284022.25
2023-02-20 06:00:00.000 UTC,2,2,137046.026005
2023-02-20 07:00:00.000 UTC,2,2,12103.701948
2023-02-20 08:00:00.000 UTC,1,1,25607.813684
2023-02-20 09:00:00.000 UTC,1,1,4000
2023-02-20 10:00:00.000 UTC,4,3,118990.780936
2023-02-20 11:00:00.000 UTC,6,6,4459169.981973
2023-02-20 12:00:00.000 UTC,3,2,803375.198662
2023-02-20 13:00:00.000 UTC,3,3,845177.926421
2023-02-20 14:00:00.000 UTC,1,1,504330.115436
2023-02-20 15:00:00.000 UTC,1,1,1220.768753
2023-02-20 16:00:00.000 UTC,3,1,520000
2023-02-20 17:00:00.000 UTC,2,2,41000
2023-02-20 18:00:00.000 UTC,1,1,1200
2023-02-20 19:00:00.000 UTC,1,1,1398.6
2023-02-20 20:00:00.000 UTC,4,4,6636398.77066
2023-02-20 21:00:00.000 UTC,4,3,434147.296294
2023-02-20 23:00:00.000 UTC,2,2,10008.589402000001
2023-02-21 00:00:00.000 UTC,1,1,42
2023-02-21 01:00:00.000 UTC,3,3,817107.172693
2023-02-21 02:00:00.000 UTC,1,1,168984.440756
2023-02-21 04:00:00.000 UTC,2,2,329692.901125
2023-02-21 05:00:00.000 UTC,3,3,1925000
2023-02-21 07:00:00.000 UTC,5,4,308623.586191
2023-02-21 08:00:00.000 UTC,2,2,4005635.342974
2023-02-21 09:00:00.000 UTC,7,6,1459294.949459
2023-02-21 10:00:00.000 UTC,2,2,241327.99891
2023-02-21 11:00:00.000 UTC,2,2,237047.255989
2023-02-21 12:00:00.000 UTC,3,3,181271.959404
2023-02-21 13:00:00.000 UTC,2,2,87015.585026
2023-02-21 14:00:00.000 UTC,2,1,3000.0000769999997
2023-02-21 15:00:00.000 UTC,2,2,57850.117249
2023-02-21 16:00:00.000 UTC,1,1,19183.86581
2023-02-21 17:00:00.000 UTC,4,3,222817.703407
2023-02-21 18:00:00.000 UTC,1,1,158597.495771
2023-02-21 19:00:00.000 UTC,1,1,346107.871609
2023-02-21 21:00:00.000 UTC,3,3,3208509.146638
2023-02-21 22:00:00.000 UTC,5,4,3196571.6328879995
2023-02-21 23:00:00.000 UTC,2,2,757923.442308
2023-02-22 00:00:00.000 UTC,2,2,1010
2023-02-22 04:00:00.000 UTC,2,2,70534.972615
2023-02-22 05:00:00.000 UTC,1,1,4102294.830659
2023-02-22 07:00:00.000 UTC,5,5,1909690
2023-02-22 08:00:00.000 UTC,3,3,1828445.0069249999
2023-02-22 10:00:00.000 UTC,3,2,3012845.144343
2023-02-22 11:00:00.000 UTC,1,1,2900
2023-02-22 12:00:00.000 UTC,5,5,41094.057025
2023-02-22 13:00:00.000 UTC,1,1,10003.397804
2023-02-22 14:00:00.000 UTC,3,3,1488662.787516
2023-02-22 15:00:00.000 UTC,2,2,1793716.8912520001
2023-02-22 16:00:00.000 UTC,5,5,881279.761161
2023-02-22 17:00:00.000 UTC,1,1,60000
2023-02-22 18:00:00.000 UTC,1,1,87113.570797
2023-02-22 19:00:00.000 UTC,2,1,10393480.786493002
2023-02-22 21:00:00.000 UTC,2,1,90027
2023-02-22 22:00:00.000 UTC,2,1,2000
2023-02-22 23:00:00.000 UTC,5,5,5669958.404831
2023-02-23 02:00:00.000 UTC,1,1,100000
2023-02-23 03:00:00.000 UTC,3,2,1980072
2023-02-23 04:00:00.000 UTC,6,5,953654.413559
2023-02-23 05:00:00.000 UTC,3,2,14000.140136999999
2023-02-23 06:00:00.000 UTC,2,2,157900
2023-02-23 07:00:00.000 UTC,7,6,5083512.315258999
2023-02-23 09:00:00.000 UTC,5,5,3677589.635086
2023-02-23 10:00:00.000 UTC,1,1,4447.77627
2023-02-23 11:00:00.000 UTC,5,4,1242537.2828310002
2023-02-23 12:00:00.000 UTC,3,3,406776.373568
2023-02-23 13:00:00.000 UTC,1,1,100000
2023-02-23 14:00:00.000 UTC,2,1,42037.8
2023-02-23 15:00:00.000 UTC,2,2,22500
2023-02-23 16:00:00.000 UTC,1,1,20383.34045
2023-02-23 17:00:00.000 UTC,2,2,980702.987053
2023-02-23 18:00:00.000 UTC,4,4,139061.119893
2023-02-23 20:00:00.000 UTC,2,2,20005
2023-02-23 22:00:00.000 UTC,1,1,65313.607851
2023-02-24 01:00:00.000 UTC,2,2,420815.16293399996
2023-02-24 02:00:00.000 UTC,2,2,17666.760757
2023-02-24 03:00:00.000 UTC,1,1,19028.148098
2023-02-24 05:00:00.000 UTC,4,4,7579236.7954319995
2023-02-24 07:00:00.000 UTC,2,2,81843.841886
2023-02-24 08:00:00.000 UTC,1,1,200000
2023-02-24 09:00:00.000 UTC,2,1,11231.073743
2023-02-24 10:00:00.000 UTC,3,2,490144.990298
2023-02-24 11:00:00.000 UTC,2,2,85651.868611
2023-02-24 13:00:00.000 UTC,2,2,30474.901362
2023-02-24 14:00:00.000 UTC,11,3,12683754.029919
2023-02-24 15:00:00.000 UTC,3,3,6485396.725489
2023-02-24 17:00:00.000 UTC,3,2,3266916.5558639998
2023-02-24 18:00:00.000 UTC,2,1,51000
2023-02-24 19:00:00.000 UTC,1,1,509.945579
2023-02-24 20:00:00.000 UTC,2,2,548566.208496
2023-02-24 21:00:00.000 UTC,4,2,4982864.332022
2023-02-24 22:00:00.000 UTC,1,1,258655.947918
2023-02-25 00:00:00.000 UTC,1,1,5011.584172
2023-02-25 02:00:00.000 UTC,2,2,18492.993579
2023-02-25 03:00:00.000 UTC,2,1,29454.011519
2023-02-25 04:00:00.000 UTC,3,3,1177315.313483
2023-02-25 05:00:00.000 UTC,4,2,31739.413525
2023-02-25 06:00:00.000 UTC,2,2,998.3960010000001
2023-02-25 09:00:00.000 UTC,3,3,19614.614176000003
2023-02-25 10:00:00.000 UTC,1,1,412636.003704
2023-02-25 11:00:00.000 UTC,1,1,1200
2023-02-25 12:00:00.000 UTC,1,1,150000
2023-02-25 13:00:00.000 UTC,1,1,200000
2023-02-25 14:00:00.000 UTC,1,1,3225
2023-02-25 15:00:00.000 UTC,17,6,11191622.625288
2023-02-25 16:00:00.000 UTC,2,2,437.225054
2023-02-25 18:00:00.000 UTC,1,1,1004.279518
2023-02-25 19:00:00.000 UTC,2,2,109064.018323
2023-02-25 20:00:00.000 UTC,1,1,514930.574032
2023-02-25 21:00:00.000 UTC,1,1,6106
2023-02-25 22:00:00.000 UTC,1,1,20000
2023-02-25 23:00:00.000 UTC,3,3,541873.363472
2023-02-26 00:00:00.000 UTC,2,2,13011.733317
2023-02-26 04:00:00.000 UTC,2,2,20992.396784
2023-02-26 05:00:00.000 UTC,5,1,6385505.215629
2023-02-26 06:00:00.000 UTC,1,1,37110.745422
2023-02-26 07:00:00.000 UTC,1,1,1005.828171
2023-02-26 09:00:00.000 UTC,4,4,23160.802505
2023-02-26 11:00:00.000 UTC,1,1,2
2023-02-26 12:00:00.000 UTC,3,3,8723.165352
2023-02-26 13:00:00.000 UTC,3,2,112311.431736
2023-02-26 14:00:00.000 UTC,5,4,160056.65449400002
2023-02-26 15:00:00.000 UTC,2,2,520719.041472
2023-02-26 16:00:00.000 UTC,2,2,2119649.421321
2023-02-26 17:00:00.000 UTC,1,1,1322.544164
2023-02-26 18:00:00.000 UTC,7,6,542602.582682
2023-02-26 19:00:00.000 UTC,3,1,218545.002277
2023-02-26 20:00:00.000 UTC,2,1,30027
2023-02-26 21:00:00.000 UTC,2,1,35000
2023-02-26 22:00:00.000 UTC,1,1,2045.468871
2023-02-26 23:00:00.000 UTC,5,3,265030.6
2023-02-27 00:00:00.000 UTC,1,1,484.593588
2023-02-27 01:00:00.000 UTC,1,1,30000
2023-02-27 02:00:00.000 UTC,5,5,965943.3043689999
2023-02-27 04:00:00.000 UTC,1,1,679500
2023-02-27 06:00:00.000 UTC,1,1,243.392492
2023-02-27 07:00:00.000 UTC,1,1,200000
2023-02-27 08:00:00.000 UTC,1,1,30.000001
2023-02-27 09:00:00.000 UTC,2,1,30000
2023-02-27 10:00:00.000 UTC,2,2,378608.71892799996
2023-02-27 11:00:00.000 UTC,2,2,27071.176817
2023-02-27 13:00:00.000 UTC,3,3,106178.236013
2023-02-27 14:00:00.000 UTC,2,1,2285223.288843
2023-02-27 15:00:00.000 UTC,3,2,55022.5
2023-02-27 16:00:00.000 UTC,8,3,9087183.541105
2023-02-27 17:00:00.000 UTC,2,2,17000
2023-02-27 18:00:00.000 UTC,2,1,16000
2023-02-27 19:00:00.000 UTC,6,3,4354133.097398
2023-02-27 20:00:00.000 UTC,2,2,5433701.747502
2023-02-27 21:00:00.000 UTC,2,2,4231850.272592
2023-02-27 22:00:00.000 UTC,2,2,80955.611493
2023-02-27 23:00:00.000 UTC,1,1,10000
2023-02-28 00:00:00.000 UTC,1,1,97641.069589
2023-02-28 02:00:00.000 UTC,2,2,13967.543316000001
2023-02-28 04:00:00.000 UTC,3,1,70091.42262099999
2023-02-28 05:00:00.000 UTC,3,3,524575.932828
2023-02-28 06:00:00.000 UTC,1,1,1200.001274
2023-02-28 09:00:00.000 UTC,3,3,262958.47130800004
