owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x5274891bec421b39d23760c04a6755ecb444797c,1294559060.2344012,0,,0,,0
0x1111111254fb6c44bac0bed2854e76f90643097d,240145504.868763,0,,0,,0
0x031fea8ab1de6160e492827a34d921d184dc27cf,124000000,0,,0,,0
0x087e9c8ef2d97740340a471ff8bb49f5490f6cf6,100706562.032872,902,774,0,,0
0xa2af528689e9df84ea482fbb1ab7685a9cf1e9f9,100000000,677,790,0,,0
0x9f8413454c182369c0200f6cc1031903477f752e,99999991.6,32,398,1,27,100027124.293919
0x61e2c1bbbbe4d841028965b8bfe0a2b83dd39f63,87749040.13855499,425,524,0,,0
0x76f4eed9fe41262669d0250b2a97db79712ad855,83716056.84804304,0,,0,,0
0x57e04786e231af3343562c062e0d058f25dace9e,63596139.363797,171,405,0,,0
0x5fe1b17cd44c8770ba9ee04b44671c7de7085140,60000000,0,,0,,0
0x777777c9898d384f785ee44acfe945efdff5f3e0,58988927.28404002,0,,1,4,185450184.735368
0x9c1cc7119bd420a395b1cf64698710a3e46ed651,53300000,0,,0,,0
0x13873fa4b7771f3492825b00d1c37301ff41c348,48440394.93383899,34,415,1,27,49003245.032665
0xce53ae9c25c9de617a4d3d1aee23931cdacb104d,46494688.4726,0,,0,,0
0x66b870ddf78c975af5cd8edc6de25eca81791de1,44021782.58739285,12171,633,1,58,5531961.046569
0xc16414ac1fedfdac4f8a09674d994e1bbb9d7113,41635933.68888906,7579,1391,0,,0
0x5230ebbd92fcf58a6c9d4146604fd782679e9b0e,36028475.694942996,0,,0,,0
0xc37704a457b1ee87eb657cae584a34961e86acac,31961705.662338015,14601,835,1,6,5223189.419590999
0xfab90d837b82ec306257115c022a624049d2ec21,30293675.773204,0,,0,,0
0xf9b43deb017253448eea94ad790db67541487021,23801275.877252,36,1012,0,,0
0xb5bf7288dc8d9fafa7add5706de251d7530e4dee,22202678.632018,0,,0,,0
0xae54995813a4b3f3309ed351bd2d4f3dc8c7a651,21974317.152220998,180,692,0,,0
0xbed4dbd30fd3aed29c2d133fddb611f8aa517c6b,21510734.587813996,4750,635,0,,0
0xffca6e998c756e828e8be46d2e31ccffd0c36e27,21207413.560822,196,476,0,,0
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,20000000,2650,1546,1,72,20033137.052672
0xb9982860b1ab88f14fe6f8394d51a3a88c0c90c3,19705304.520111002,24,106,0,,0
0xc6c1d9c8161cf9f14dae56fe06218f72d804452a,19454643.715536006,132,418,0,,0
0x54dda22ae140edb605c73073eabb6f4aea2fc237,18621568.706285,181,215,1,100,43654163.401825
0x74b3691ebc3fb083e36065a1986d6c490b13e95a,17705263.853159994,0,,1,49,5047789.520307
0xb8c2c0aa32a95351ffa9450509c62379a42a4f87,17061664.044391997,1022,1861,0,,0
0x357cb5c9f4bbba9aa3bd6cc5879f53b845ce4d3f,16830837.331187,329,702,0,,0
0x236f233dbf78341d25fb0f1bd14cb2ba4b8a777c,16805841.834166974,285,795,1,51,10000000
0xc94680947cf2114ec8ee43725898eaa7269a98c5,16724222.358012002,418,1899,0,,0
0xe14cedba68be35861dde3a599fba6a341b1a15af,16247281.842974,253,493,1,20,968183.894175
0x99c0def9b27d1875458f04038befacb7f7cac0f1,16100000,0,,0,,0
0x6b3d1a37b5c01901341f01f4975d31bc5e6c3d81,15319439.157731999,3526,659,0,,0
0x14f425e2dcdb9efabaca25a4a74f823b142e2452,15000000,4,18,0,,0
0x86f4d92b25bd0838f36ee1168296def9b904e1f9,15000000,0,,1,54,15278150.135437
0xcae141802e1ea4021414c2010ba3d8a9faee072b,14637191.039018,113,633,1,58,12457960.949659
0xb394e0a990a577f277ddb65547b6399898d78051,14611933.889549002,691,263,1,48,2038391.154299
0x77fcae921e3df22810c5a1ac1d33f2586bba028f,14586396.144479,0,,1,2,3519955.5818999996
0x5e3026fb980f7a4aa10bd16cd7e6dfadbbae65c4,14394770.374896001,25,5,1,42,14398541.053238
0x59e17730f2a0373a45048161dfa04d4265992567,14324249.457212998,730,1074,0,,0
0x05a14f14e7a435542468d6f4d408d6f67303d769,13166719.399574,0,,0,,0
0x2bd8d39a91a8075710820478e9fa0fe03317d9b6,12911743.990221001,148,633,0,,0
0x1dd8f41e86712e5380c5c8cc8773054550ba1a88,12513779.955561,0,,0,,0
0x83f2ad2176a042e720257002ee100b6a07e63225,12325178,0,,0,,0
0xa00b0540f43e00a634d016a31b0a39d95170e6bf,12215027.637241997,5408,649,0,,0
0x1e6d25889ca68811cb834f7cce9c21267c25570e,12129937.173994001,825,691,0,,0
0xa9905a013ae8263b14894e227b03cf9c73e07502,12017822.795917992,0,,0,,0
0xb7cb772a0d8001a618f65373f9ac7750aa2c7d28,12000000,12,80,0,,0
0x176f3dab24a159341c0509bb36b833e7fdd0a132,11558393,43,467,1,53,11626425.93341
0xe1d18ae098ffb1ad301e0609180f155b329a710a,11099987.792138,5170,2020,0,,0
0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe,10999704.985834,90,121,1,95,1500000
0xded69068a94776a23f5bdafc6b4c6894bc88e82c,10962136.861387,0,,0,,0
0x11dbf181dd5c075c2abd92cb9579c4809406b5be,10781405.751709998,2638,551,1,44,11215829.308121
0xb9247e730bf4aefb0e44d0fc9ff0ba5d21bb57ed,10040726.662543997,192,329,0,,0
0x178d6b3c0ff5556cd906571677557660af91611d,9893875.184120001,261,362,0,,0
0xb83c15a93b65a57c59a568068dfee5da911146b8,9710108.246169,1754,785,0,,0
0x75520128faa11447200d99b627efc254c479fc97,9373312.789573003,851,746,0,,0
0x9e01357fb37d4d4c81f2f3807ac9fbbca094dfe8,9213795,35,405,1,53,5000000
0x9681319f4e60dd165ca2432f30d91bb4dcfdfaa2,8927407.681127,2197,919,0,,0
0x7a39608107dc014d4bbd7a5f01d3fba5dff6d042,8276242.960080998,3786,1377,0,,0
0x09b21c2720a99887f817c9e7586055176868c428,8264817.876885001,47,1978,0,,0
0x2dee59010cbb5dd5dfc4ab90f7a63c423041b2bb,7945990.054596001,35,777,0,,0
0x2436c4dc11ed6a990b3ee3ec54e4066496c039e5,7823375.305741999,92,864,0,,0
0xc5834255e23a2207916beccda65f17c8a58fef1d,7809813.217551,347,810,1,49,95000
0xcc8a1601a32b48cebf45224ca6d786c24414a10b,7741359.43925,32,210,0,,0
0x71e343797a751555d9542a619a5d50fb757b9e6e,7638649.858455002,341,173,1,2,7656874.111104
0xfbe87d602f7d7dd511349be4acf58842392124a0,7528283.304121997,1397,573,1,0,388536.980124
0xc22060a0e86cc0ee5c24407303aec752e2791c3a,6769534.566528,2452,1891,0,,0
0x8c56b1fe76de0cf0e61428c4b839645c2d351890,6746980.907497,441,803,0,,0
0xe2f699ab099e97db1cf0b13993c31c7ee42fb2ac,6500000,9,501,0,,0
0x25ed1524443d12a32af9438cacc688f32f6c0fc9,6490093.537441,0,,0,,0
0xcb915b7e689bcecd5de2c1d863a77fb187f713a7,6341223.914046004,0,,0,,0
0x6249099e4a2aacb70621c432d537fe6bbdb5251c,6315628.643784001,762,616,0,,0
0x9330814e88031c10e86efc323a2510eadcdc39e8,6300000,9,501,0,,0
0x4317e3e478a15c6a5787167206336b968d197f2f,6148002.024189999,0,,0,,0
0x99a7a29bf0e86e578ed3334c7647bc5d04524619,6079112.4783620015,0,,0,,0
0x80044124d602badf18c2c580b99b37b12c67b00e,6041479.289463,74,526,0,,0
0x98b7f6562c0c61f3fd12d9e5a6e723e1c08d3cf1,6015145.502913999,283,348,0,,0
0x1cd14801537a3d1550b7e30a9ed59bf68d8cbc84,5953972.984719999,1101,1102,1,21,550000
0xb6af7c04f67b5eb61f0dc7ac4a760888ec3e3887,5924765.981776999,9174,1003,0,,0
0xf183b397d161402c46d4d32b08819c3cfd322975,5879881.265505,209,516,0,,0
0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,5865259.834555001,433,664,0,,0
0xa0814dda3d2d94b03be1a820623606b826974328,5735083.65,5,81,1,42,5736272.630825
0x2a08d2692cac04b44a4aed32745a40f9a5671530,5656080.096019,34,18,1,45,6085763.741726
0x76dfe68c3f3b5ff0e3636ffc18b84b5653450569,5626589.897100001,0,,0,,0
0x093d5f54f2a212f82056b34c12e3710e24cc6af1,5604200.084557,1535,828,0,,0
0x087097e0d5d5861ee9277a967ae4b72ad562d5ff,5586871.872579001,123,682,0,,0
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,5569549.1194279995,0,,0,,0
0xea92affeef270a0d9a51b5172a5948c3eb7c1ed8,5548347.279553001,432,441,0,,0
0x82411c684fed24666372e6381ea17777feccda08,5520735.885404,494,774,0,,0
0x1e55e17fd7ced07f17a0a7ed3e02170b2fc2863a,5512414.796374999,275,331,1,131,514369.745717
0x472d9a5a6e407e3a90adc3cf5d0f5274ded64c66,5497061.941311,90,789,0,,0
0x97a3dc0d7def4c6549e5fb231f563f23bc9e96c4,5420793.71027,53,322,1,111,100000
0x9472fc54a0e04afbf8bacf8ab99ddd057c7761db,5350000,0,,0,,0
0x58cb09cf5dd5225fb5f3c43054ef343e519d6380,5251500,1157,643,0,,0
0xa019a71f73922f5170031f99efc37f31d3020f0b,5218241.852939,1310,783,0,,0
0x342b7a51c264345803d0cb7d1162504e9e378828,5190475.0376079995,167,282,0,,0
0x46821532292560e52a082fe1276b1a9f3c0c8185,5111844.495218005,1866,932,0,,0
0x4da3aab0030fe4708097ffb4096a89bd8f7dd7b1,5100000,7,501,0,,0
0x989536719a72cfd50348ccd5521256c7eb41a999,4998564.203885001,157,106,0,,0
0x0084ee6c8893c01e252198b56ec127443dc27464,4976639.3854600005,1223,522,0,,0
0xa7e9dca4dde114d755c7bb017bbe1e19f58f0f98,4795000,17,509,0,,0
0xd4172bfa04564990fb804872409c2026b0c7754c,4730976.774488,1326,987,0,,0
0xecee85b7d104fa3de8dfcc964f1f891a4a22a7c9,4703048,0,,0,,0
0x693926bc3ea8054d164be0db4a59a37432cbc92c,4627935.156489001,0,,0,,0
0x18f93fa526e598769fd909f1d2c82315219d49ed,4561568.315694001,1971,1883,0,,0
0xb8465f2ab8e1c416a1ca54ddd3207346f0d77fab,4549956.750220001,83,53,0,,0
0x78bde1fe54d93d6bc483e160205f4b7e1c7ca5fb,4500000,0,,1,55,3000000
0xfe219ee03396e4cb5a75335b7dccc028f9264eb9,4374404.538016001,97,884,0,,0
0x4c12d5809ab5674d132de6fc00a76c2c79a99c5a,4250001,0,,0,,0
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,4202900.235738001,0,,0,,0
0xbb09cbb43cff459557f80bd4972f5720ed185b56,4162064.5746070007,0,,0,,0
0x9878fca624ea577d987c16d8ca41cd477adfd0bf,4160615.807906,669,797,0,,0
0xb2ce19ecd11b457959c2c61e556833c991f03b70,4141238.1187960003,381,161,0,,0
0x55434e25fafc56e130febd58bad5c3e08b1935e2,4117650,12,89,1,52,4134143.370801
0x29cfb5d915a1d43fa2aca55cbbac36cdf7271ab7,4100000,0,,0,,0
0x384870a0a6d26fd7193d65fa3822e5401f73d4bc,4082859.617294999,316,410,0,,0
0x9093d3194d887891994e79f35cd5c6872b085dab,4079073.271297,18,993,0,,0
0x7d53a910f787be3aa27952ab7a9f298565bcf8b1,4045090,9,114,0,,0
0x049355e4380f8db88cb8a6ec0426b1a1a3560c67,4000000,0,,0,,0
0x1ca62985e97c7106c9c3e4bcb4c2baa6a8d2f365,3994311.4919420006,2508,947,0,,0
0xb295faacfe9d72ce8bd57b8771bad5cd031647dc,3992655.0754549988,780,573,1,51,4023187.397443
0x60ee8465dc43245c6c2989b1089e476d3a0a717d,3975580.9259830024,0,,1,37,2990279.1505
0x0a6077c72e2d68d820906ba577783de7654fca54,3964099.9831760004,133,764,0,,0
0xd5ac0d30b6059640ca089c608663562601d81b42,3875000,13,461,0,,0
0x4a49985b14bd0ce42c25efde5d8c379a48ab02f3,3870250.385691993,0,,0,,0
0xa976ea51b9ba3232706af125a92e32788dc08ddc,3828160.9418300013,0,,0,,0
0x5e37939becca1818378c52835ad1ebb1ddc4b344,3820778.5198080004,358,386,0,,0
