owner,ran_p1,ran_p2,ran_p3
0x2a9152d882ba3fc4265d47447a7a00970f90a25e,0,1,0
0xf212ce21a97dbe30999a4c2b309d278bccbb686a,1,1,0
0xb394e0a990a577f277ddb65547b6399898d78051,1,0,0
0x54488187c2d5c77685ae65feda4c8267c8346d63,0,0,0
0x350b08b50d29cf59ddee8f4efa2487c3ce9d54fc,0,0,0
0xf89a3799b90593317e0a1eb74164fbc1755a297a,0,0,0
0xc8a553f279c36265e7f1224cc7d17abf28f0d745,0,0,0
0xe778f8b38d50a9aaa115d03b620f9814b5feb637,0,1,0
0x7564742b1f1938ccb7f1daed481076b2089d3db6,0,0,1
0xc8bf596306891b254225b0f9c7fbb8c4315970ec,1,0,0
0xc79c30ef1941002c54293a028cf252dfb0ddd2aa,0,0,1
0x8eb596f1dca53b2b92a994f96ef067e0af5e0756,1,0,0
0x87877eb7f4c4b7601a1aae5120bfc4fcca60d939,0,0,0
0xb9d53cc752d3d1888fe8e340a65027c1a2d86f94,1,0,0
0x4af79ffcabb09083af6ccc3b2c20fe989519f6d7,1,0,0
0x82fc7b3ca28963fcdefc1debdc3080fd6cf88123,0,1,0
0xa2c9aa6d3312d0e50e9f5181f14c3e7b29fb5dd4,0,0,0
0x4e98844f6d2ab59eb9f4faa09aceae24e12a08a1,0,0,0
0xbacf84c79c3be392c7573943be54946064cbdb94,0,0,1
0x62cb56ddfd68a9dbf5a69bd2bd650c9c25fc5567,0,0,0
0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,1,1,1
0xd093fa4fb80d09bb30817fdcd442d4d02ed3e5de,0,1,0
0xad28a9a08e2d6ab1d78df64f6e824af470bcc147,0,1,0
0x81ca69eca5c063bdf4326ee7bbbad9e507313ee9,0,1,0
0x6bd8abcd47bb30c09d1804a83ea29892df36b514,0,0,0
0x50e7e98368731dfb6154ea819d8c5122f5a880c8,1,1,1
0x8281de5d17bf1e79dd5bc33891ee79ae4b442055,1,0,0
0xe421d478bf4d6140bc95d13b175c2a4f4dac7ae8,0,1,0
0x1f130db404cf640848a83b5d5022fbbb7501a5ab,0,0,1
0xff99e81d1a22da0a2fd10aca4990f19d5812436b,1,0,0
0x7ca2491e5aec98fa36d917ffa57f599c530564b8,1,0,0
0x2fbeb88bf72d584c2f13b10dea90d9ba4a908734,1,0,0
0xdc93d15daf868f08e18d0646c62667410f1f212a,0,0,1
0xaf8583006743da1ba9b391841cc766767f7a2a84,1,1,1
0x2a5625da499aafa09160bd15ef7259d6d25d477d,0,1,0
0x8bbae6de836155f1ff5b6bc5026bcf0d6927e5b1,1,0,0
0x00d3f8284fd1a73bbfeac35a5a2883421da6298d,0,0,0
0x8e4cfe406de11df75c045b70ab859efb8284ea2f,0,0,0
0x5936c1ad1d23bc1adb275d6821b3d8fa3f2f6447,1,0,0
0xa9903bda477b9a57bd795adff9922cb98db65f04,0,1,1
