owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0xf34842d05a1c888ca02769a633df37177415c2f8,2604536770.937019,0,,0,,0
0xa2af528689e9df84ea482fbb1ab7685a9cf1e9f9,214918936.730142,677,790,0,,0
0x66b870ddf78c975af5cd8edc6de25eca81791de1,88202537.025623,12171,633,1,24,4421829.527949
0x176f3dab24a159341c0509bb36b833e7fdd0a132,39986742,43,467,0,,0
0x76f4eed9fe41262669d0250b2a97db79712ad855,39729213.406256005,0,,0,,0
0x05bc11f64c6515bb384b05bfd3e0d0424fa65aa4,21689264.006547004,0,,1,55,3000000
0x83f2ad2176a042e720257002ee100b6a07e63225,21113024,0,,0,,0
0xf07766108cdb54082f7b06cad20d6adab1342d46,17631407.489099003,59,521,0,,0
0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,17407842.054751996,0,,0,,0
0x02ed4a07431bcc26c5519ebf8473ee221f26da8b,15734648.114554,41,164,0,,0
0x0b6b712b0f3998961cd3109341b00c905b16124a,14362539.506142,0,,0,,0
0x6520f6aef0b59f292acc6e419fafa8a915884d17,14293256.802090997,0,,1,57,3544638.742636
0xb8c2c0aa32a95351ffa9450509c62379a42a4f87,13598866.960168002,1022,1861,0,,0
0x9f705ff1da72ed334f0e80f90aae5644f5cd7784,11484250.451934002,2864,617,0,,0
0x2ba7db955df5b32fbd9ed3ef475ef2746745707c,11400000,4,165,0,,0
0x58703da5295794ed4e82323fcce7371272c5127d,11189199.406810999,0,,1,22,4781789.664674999
0x38ae45aa45434a88d75fb77a4534c648381b34c2,10581118.659045,277,782,0,,0
0x087e9c8ef2d97740340a471ff8bb49f5490f6cf6,10177140.190261003,902,774,0,,0
0xbf8e15e832657e6f6651eaf1c44dbace758808d5,9366266.413800001,30,101,0,,0
0xb8d6471ca573c92c7096ab8600347f6a9fe268a5,7923751.469651002,0,,1,56,927976.936527
0xc108b793e293f1aac19418e899397e62fdf02575,7500182.912843999,82,708,1,26,4000000
0xcb2b81c9cbdecec85f6bdfa9bc7c6df0f197eb32,7149810.398139,105,1160,0,,0
0x7940dd08b2e5fed1f83167108a68f45773d8e65b,6811680.077015998,88,712,0,,0
0x1111111254fb6c44bac0bed2854e76f90643097d,6159937.421382002,0,,0,,0
0x51346d389ec7adf11c5b96695ef003dbb849af9a,6063636.421096,1137,780,0,,0
0xbefd429cc065a1992f6543e75afd669e4b11cd7e,5792005.539681001,18,553,0,,0
0xd8610cd3c0103cfd5233f8645ab7c66ef29a71d8,5689160.922459,300,1780,0,,0
0xe3272b584264680d3ffd44763d78fe3b07b728d7,5305279.6781750005,254,1292,1,124,750000
0x6d1b730aa76b613ac1e52f73f0cb70c42b50331c,5189251.786392,23,1145,0,,0
0xec61e3957739f01084d1b167012aaeeed367eec3,5100307.656684,25,680,0,,0
0xf0363a1b529324d96caac6bbd23b7ef069533a86,5000000,57,604,0,,0
0x6abbf31304371b64ad96652c4dfdbae989656ddf,4985648.605148,263,481,1,57,10037111.303955998
0x87aa288c76336b234e37d53499ad09c0feb1cb28,4043700,10,116,0,,0
0x8c9a16aed57a88e59b7325011f5125bb9cd95a34,3993115.425986,0,,0,,0
