bal0,first_wd_hours,owner,ran,tx_sent_count,wallet_age_days
322233.431615,133.0,0xb42a9e77b9fe90ae3f97eeab261e1c6f8437987c,1,373,557.0
40000.0,,0xc2cce95593546a2e8a1ad2c2a0e4f046d5ceb5ab,0,0,
439.379,,0xaa80b7c01f27c6665c9f1b5a94e7af946310f00b,0,121,546.0
113018.326612,,0xddad501519d5e2b45f4cf1c6a63cb9c518e39fdc,0,300,834.0
75000.0,13.0,0x68b53aa18d1b8437b7cd9524040c776e2261e06d,1,2821,699.0
399388.1445380002,88.0,0xe18a59a244e6137851ca8b0ecf57456183120907,1,4437,293.0
106.0,,0x9e6fb6a29f56f3def5a9db991ec739516fc94386,0,65,270.0
1000.0,,0x53a17293796c15fd9ba33cdd059f00eaede9c0c5,0,11,400.0
10000.0,61.0,0xd6fcb082dfe4f602b38d950e479970c9fee571be,1,82,475.0
6529.752283,,0x19e037af8558c0363b898e182313cb32e51c76e2,0,14,299.0
111.0,,0x2ae94e717395dc8f91a619917c6ba15698bc3c38,0,5,39.0
200.0,77.0,0xb6bd1b9b3e6e3512bb354789289f6d8fbc0f65bc,1,860,653.0
325906.44068400003,48.0,0x326451c4a47154a67b7e4c3fe1e3a4574413d928,1,31,399.0
1708.300467,,0x400454326d1bfd73f97a93a63e5faaec0af284cc,0,215,636.0
10000.0,37.0,0x79083cdfe33cd4b74570ad0ba89feb9f8ff80b33,1,1118,1519.0
999999.969515,30.0,0x3300eebeea8239b90a435e403b130a853a0d7dff,1,106,166.0
54984.08261,,0x09a11f062b1c6f2820059f9e3f92fea0fb2a03dd,0,2,14.0
250000.0,28.0,0x88ecf1e8338fcf8babf8a6f64fce1dc4fbd21c41,1,15,111.0
16033.109426,,0x4f57e0d5b5bbe388cdadf62de0bf95912035d797,0,68,1920.0
5825.215892,,0xab3bc50bd30b9e8e6aaf84ac018963eaaca156aa,0,5,21.0
50000.0,57.0,0xbd94c73c70f63a2fd21dee7060b9fe0cddac0b21,1,6,41.0
6431.362895,59.0,0x0e97ea567703d08e4e3c3e00ff7bf1f47c26858d,1,8,128.0
78192.150088,,0x8250fd90c0efb1d1fb2e72e526064a93cfa17b25,0,14,1129.0
40981.219401,,0x403615b70c893e6247ae4bc7627a775c1a4dbe85,0,337,437.0
803783.642599,,0x5a0b3a59312701115d714be01c12ba205eca1b4a,0,60,747.0
101512.006302,,0x4fcbd0c9c74afdcd9dc2855e46ac703cf115c119,0,1070,1009.0
2213500.0,114.0,0xd3822faa8b4c22baac5254e49a115a4a0f544c81,1,72,36.0
60087.857582,57.0,0x19dfdc194bb5cf599af78b1967dbb3783c590720,1,3647,1865.0
187338.345693,,0xbc5f471e3dfcbcf9618d9307ccf3039f45348ded,0,19,120.0
205450.936899,,0x2ed5b2b3879bc288946776debba078a4aae49c98,0,13,462.0
684922.201988,98.0,0xf0760d5b990d37cde0c0ea187183f38d1610c402,1,17,296.0
2996.156536,,0x357cc8a6b19719d797ad77c239e6a0627007a478,0,548,1897.0
1260000.0,78.0,0xef7cd78bdf7ce6e3903572e3d584839643df2f0a,1,1059,1460.0
2103.0,,0x70a1515c804062992e1a2f16fed268e9d1e3a089,0,10,39.0
4983.079007,,0xb8dd0233640c8137d89e2a86ecd3b725ceca148d,0,382,536.0
20000.0,6.0,0x3b93e1b9ca252143845ddb08927b83db65f90e26,1,0,
