day,inflow_usdc,outflow_usdc,net_usdc,n_deposits,n_withdraws,n_dep_users,n_wd_users
2022-08-26 00:00:00.000 UTC,2529323.835363,1888871.1770630002,640452.6583,52,41,43,28
2022-08-27 00:00:00.000 UTC,2654964.764394,2717700,-62735.23560599983,12,6,12,6
2022-08-28 00:00:00.000 UTC,2639781.7197700003,12676.028631,2627105.6911390005,20,2,14,2
2022-08-29 00:00:00.000 UTC,362529.376146,2008909.0936319998,-1646379.7174859997,6,7,6,6
2022-08-30 00:00:00.000 UTC,300445.79029200005,10403.770624,290042.01966800005,8,2,5,2
2022-08-31 00:00:00.000 UTC,507.917575,118705.608514,-118197.69093900001,4,9,3,7
2022-09-01 00:00:00.000 UTC,62726.884860000006,227149.080771,-164422.19591100002,9,11,7,8
2022-09-02 00:00:00.000 UTC,284864.379024,6700,278164.379024,8,3,7,2
2022-09-03 00:00:00.000 UTC,260932.313527,70135.190985,190797.122542,12,3,6,3
2022-09-04 00:00:00.000 UTC,0,200,-200,4,2,2,1
2022-09-05 00:00:00.000 UTC,1311.109091,1310,1.109091000000035,7,3,6,3
2022-09-06 00:00:00.000 UTC,255342.99,817741.039947,-562398.049947,6,13,2,9
2022-09-07 00:00:00.000 UTC,667067.000554,792425.687549,-125358.686995,8,18,6,4
2022-09-08 00:00:00.000 UTC,2353848.339852,108023.518742,2245824.82111,7,4,6,4
2022-09-09 00:00:00.000 UTC,114506.00851799999,742378.491536,-627872.483018,10,9,7,7
2022-09-10 00:00:00.000 UTC,2501351.8687150003,3116475.60514,-615123.7364249998,13,11,11,10
2022-09-11 00:00:00.000 UTC,2836547.245134,3337238.9607929997,-500691.7156589995,18,16,16,15
2022-09-12 00:00:00.000 UTC,6562940.128329999,5850723.348683,712216.7796469992,25,19,14,10
2022-09-13 00:00:00.000 UTC,5578403.328408,5255542.337639,322860.9907689998,17,19,17,14
2022-09-14 00:00:00.000 UTC,10829979.034852998,6794416.749581,4035562.2852719985,29,29,29,25
2022-09-15 00:00:00.000 UTC,24511548.656438995,22179796.942167997,2331751.714270998,38,37,31,31
2022-09-16 00:00:00.000 UTC,19891888.137517,22677524.808958,-2785636.671441,34,29,27,22
2022-09-17 00:00:00.000 UTC,9865472.725561,5509545.137723,4355927.587838001,16,24,10,16
2022-09-18 00:00:00.000 UTC,61785749.657767005,61035679.740905,750069.9168620035,11,9,7,7
2022-09-19 00:00:00.000 UTC,2880708.0833600005,2462352.1290269997,418355.9543330008,17,16,16,15
2022-09-20 00:00:00.000 UTC,13581703.712106999,14232589.214519002,-650885.5024120025,11,20,10,15
2022-09-21 00:00:00.000 UTC,10252914.355827998,9843846.714053001,409067.6417749971,20,27,19,17
2022-09-22 00:00:00.000 UTC,9362694.152647,3677219.1130889994,5685475.039558001,11,18,9,12
2022-09-23 00:00:00.000 UTC,2297035.6215979997,1806814.390955,490221.23064299976,10,32,9,19
2022-09-24 00:00:00.000 UTC,253636.13608200004,965121.3315559999,-711485.195474,14,15,12,12
2022-09-25 00:00:00.000 UTC,2748620.3608230003,3208627.229436,-460006.86861299956,15,20,11,11
2022-09-26 00:00:00.000 UTC,5188158.114433,6981002.792843,-1792844.6784100002,15,37,10,19
2022-09-27 00:00:00.000 UTC,8359894.329388999,6394898.379210999,1964995.9501780001,10,25,9,14
2022-09-28 00:00:00.000 UTC,6042240.959044,1536659.665691,4505581.293353001,19,12,16,10
2022-09-29 00:00:00.000 UTC,575877.1492580001,3656677.8303380003,-3080800.6810800005,9,25,8,17
2022-09-30 00:00:00.000 UTC,218108.72785599998,450971.855024,-232863.127168,6,18,6,10
2022-10-01 00:00:00.000 UTC,2593966.627941,671052.264635,1922914.363306,8,9,5,6
2022-10-02 00:00:00.000 UTC,2736820.551512,3638719.760826,-901899.2093139999,16,17,12,11
2022-10-03 00:00:00.000 UTC,3533075.61782,4394049.562803,-860973.9449830004,11,12,10,9
2022-10-04 00:00:00.000 UTC,2005910.7130299998,3819577.5858759996,-1813666.872846,18,42,15,23
2022-10-05 00:00:00.000 UTC,12595704.373729002,4773028.576881,7822675.796848002,20,25,18,19
2022-10-06 00:00:00.000 UTC,2631068.779315,878782.266271,1752286.513044,19,20,18,15
2022-10-07 00:00:00.000 UTC,4031852.5619,3748678.816118,283173.745782,11,15,11,13
2022-10-08 00:00:00.000 UTC,32031.521541000002,535410.455067,-503378.933526,3,13,2,10
2022-10-09 00:00:00.000 UTC,2047366.442059,8712631.287485,-6665264.845426,5,13,3,6
2022-10-10 00:00:00.000 UTC,2429687.325493,2235260.900045,194426.42544799997,12,13,11,11
2022-10-11 00:00:00.000 UTC,1462809.7444340002,1155950.966345,306858.77808900014,8,11,8,9
2022-10-12 00:00:00.000 UTC,689283.8358090001,1920776.726494,-1231492.890685,15,11,15,10
2022-10-13 00:00:00.000 UTC,10612972.296180999,5739681.430929,4873290.865251999,14,15,11,15
2022-10-14 00:00:00.000 UTC,1389891.4320649998,2368802.447006,-978911.0149410004,11,13,9,11
2022-10-15 00:00:00.000 UTC,4325512.791694,10499025.624868,-6173512.833174,9,14,7,10
2022-10-16 00:00:00.000 UTC,8592772.901838,36700,8556072.901838,11,5,9,3
2022-10-17 00:00:00.000 UTC,7884923.993179999,6319331.366552999,1565592.626627,13,18,11,11
2022-10-18 00:00:00.000 UTC,12846253.515812,2285453.76748,10560799.748332001,14,13,11,12
2022-10-19 00:00:00.000 UTC,398846.600771,1501216.024692,-1102369.4239209997,5,5,4,4
2022-10-20 00:00:00.000 UTC,1842340.309887,3173104.25,-1330763.940113,7,5,5,5
2022-10-21 00:00:00.000 UTC,754938.239473,2050579.5267140002,-1295641.2872410002,16,11,7,10
2022-10-22 00:00:00.000 UTC,2028732.0678,735702.567779,1293029.500021,8,11,7,8
2022-10-23 00:00:00.000 UTC,592488.590501,3040609.669055,-2448121.078554,13,13,7,13
2022-10-24 00:00:00.000 UTC,3086732.6506700004,11875568.519654,-8788835.868983999,11,10,8,8
2022-10-25 00:00:00.000 UTC,21429719.986322,4076960.5616829996,17352759.424639,10,30,9,18
2022-10-26 00:00:00.000 UTC,4298276.65343,1425662.140636,2872614.512794,10,17,9,16
2022-10-27 00:00:00.000 UTC,2177502.190747,2118822.941792,58679.248954999726,9,12,7,11
2022-10-28 00:00:00.000 UTC,12614.267073,3001570.8174099997,-2988956.550337,4,24,4,20
2022-10-29 00:00:00.000 UTC,7954943.187482,1719777.186225,6235166.0012570005,8,21,8,11
2022-10-30 00:00:00.000 UTC,1494893.9497369998,609285.061526,885608.8882109998,10,11,10,11
2022-10-31 00:00:00.000 UTC,8614584.765587,10378701.189425,-1764116.4238380007,9,32,9,18
2022-11-01 00:00:00.000 UTC,4208387.190452,9785663.765314,-5577276.574862,7,20,6,18
2022-11-02 00:00:00.000 UTC,3632584.687793,1780429.6266799998,1852155.0611130004,16,11,10,10
2022-11-03 00:00:00.000 UTC,10242360.489879001,101320,10141040.489879001,13,9,11,5
2022-11-04 00:00:00.000 UTC,146375.640574,13493355.440543,-13346979.799968999,9,23,8,13
2022-11-05 00:00:00.000 UTC,22069379.152838998,15620776.825235,6448602.327603998,16,18,11,15
2022-11-06 00:00:00.000 UTC,1985475.0714560002,573474.405614,1412000.6658420002,5,6,5,5
2022-11-07 00:00:00.000 UTC,6917406.60107,6148518.812427,768887.7886429997,11,25,8,14
2022-11-08 00:00:00.000 UTC,11320621.626679,13874573.309794001,-2553951.683115002,69,60,29,24
2022-11-09 00:00:00.000 UTC,12470242.958249003,6203905.238696,6266337.719553003,68,38,44,27
2022-11-10 00:00:00.000 UTC,3110544.547380999,11443001.50173,-8332456.954349002,29,52,27,37
2022-11-11 00:00:00.000 UTC,555661.020578,936835.201663,-381174.18108500005,9,25,8,16
2022-11-12 00:00:00.000 UTC,554346.542448,3058722.24635,-2504375.703902,19,20,18,15
2022-11-13 00:00:00.000 UTC,4549050.336938999,2763733.36184,1785316.9750989988,26,15,15,15
2022-11-14 00:00:00.000 UTC,12042240.898179,30769281.440216,-18727040.542037003,34,17,27,15
2022-11-15 00:00:00.000 UTC,23839923.188114,585182.993083,23254740.195031,19,22,18,17
2022-11-16 00:00:00.000 UTC,2501608.454256,1491203.720409,1010404.7338469999,15,13,13,13
2022-11-17 00:00:00.000 UTC,6376875.358483,6319473.659415999,57401.6990670003,16,12,16,12
2022-11-18 00:00:00.000 UTC,2042113.0107759996,117792.305031,1924320.7057449997,26,8,20,7
2022-11-19 00:00:00.000 UTC,1012067.5351709999,1052411.259305,-40343.724134000135,28,8,22,7
2022-11-20 00:00:00.000 UTC,7117297.175975001,2251195.5725240004,4866101.6034510005,26,20,23,16
2022-11-21 00:00:00.000 UTC,727721.699799,38622495.932202,-37894774.232402995,18,24,17,18
2022-11-22 00:00:00.000 UTC,6207698.386154,1043889.2085349999,5163809.177619,24,28,22,24
2022-11-23 00:00:00.000 UTC,27074191.847579002,892246.5302289999,26181945.317350004,24,30,19,21
2022-11-24 00:00:00.000 UTC,5275473.760581,12597191.400819002,-7321717.640238002,14,30,10,21
2022-11-25 00:00:00.000 UTC,5195257.771879001,5640862.395037,-445604.6231579995,20,14,17,14
2022-11-26 00:00:00.000 UTC,111961.405998,670055.852493,-558094.446495,10,22,8,18
2022-11-27 00:00:00.000 UTC,571363.295473,1335508.862618,-764145.567145,19,13,13,7
2022-11-28 00:00:00.000 UTC,4124187.457714,425831.0241200001,3698356.4335939996,14,20,12,16
