owner,bal0,wd_win,ran,tx_sent_count
0x638e9ad05dbd35b1c19df3a4eaa0642a3b90a2ad,39674317.400894,0,0,0
0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,25840644.844796,25976379.959734,1,11892
0xa2a0be8c7b9786d58cc1d3cdcfd27b351244281e,25000020,0,0,6
0xbe44707d49cd8362788bd06f107a8dc47fa2ac09,20000000,0,0,10
0xfc782b46682de0c0d668074d8a476ad4d5e45d0e,10000000,0,0,5
0x78d7df2543b97cba737401e4c274f44103a1f416,5600000,0,0,14
0xba5c4adc5331729e107fefd422753a294a5549c4,4300000,4315522.707791,1,175
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,4000000,4004402.284861,1,3191
0xa2dfaea03bf2140cab99e3de9f23f568c850b76a,3999945.265742,4019048.969009,1,251
0x58c30b3bd434b5acdbe51f6bc13032659064fe4b,3600000,3608606.57573,1,245
0xc397d4677d0fe3d5c55c017b6a1e2c5162f7de32,3000000,3000703.052685,1,0
0x30485556753a449321d950cf8a4e7b6c1d3ce0aa,2803908.651151,0,0,88
0x8d5a603ee20b437a872f55f2380ffc907ad241cd,2725000,0,0,0
0x135a5c5f76beaf0c98c9d90079341d3c1a1c8098,2223402.071814,0,0,206
0x1f3659d89fc2d7eeed3699f5f23445f8e5e427d9,2178000,0,0,35
0xe14dc1c13027b41c9f256bdf5524f5fa08cc3bb5,2010062.8421280012,2000604.2389770001,1,448
0x5deb8b6f0147be8e6128cbb9a58c2ccb506ff58b,1989746.4633140005,2000657.663491,1,755
0xdbc0e13881380a87569bb6e851e4ca0623f3fe14,1883694.1193090002,1897424.405921,1,362
0xb424e82115888d84767ad662e2bad5c8bc582a44,1473322.163,0,0,0
0x067306591dcdc297fd757596c408f17188e2dde0,1437858.0017069997,0,0,149
0xc4dd8e820ff8794301c67a74f4cd024676356532,1420000,1423809.747151,1,2344
0x889502cab866389d64063542d14edff744dea857,1365046.29853,0,0,63
0x9a2642039e9b323e702eba1c2069a73fa602746d,1291312.9588049995,0,0,279
0xebeb55e2894cf2e284f76956c3089cd8d1f90fe2,1264355.134875,0,0,51
0xc42973b5496d6767ccfadd8612a3a12d4843a912,1211855.8178710002,0,0,1275
0x4855aecf5e4779156789e81f81591a4ac376e202,1199830.379281,1801249.016134,1,108
0x061049747ca54631d0be813f1b9d2db4fcd8441c,1168744.631587,0,0,34
0x404c37c74fc1303d96e0946985a16d2663303771,1094855,1816,1,55
0x700a3abd3239db7a35b3b914d35f43ca65a52314,1021145.886004,1030119.269347,1,17
0xd372d1f55763739405097448efeb1f39de316757,1004390.529103,1007147.678409,1,27
