market,owner,role
compound_v2,0x93f66c076419c0b60ec64c048ff90d2bf7e72715,sender
aave_v2,0x3166e7abf8277cab19f2bc2b9c97c09f9d2fddf0,sender
aave_v2,0x6aa635d7e42f71b09ed7832f2620178c0bf8f082,sender
compound_v2,0x2ceb9e1f54ff563abca2b470097a77061efe6270,sender
compound_v2,0xc471124adeca96de48548346fe3d816c72e9e883,sender
compound_v2,0xee17687e3d81e9f6db122604a61b48d3ac2cd106,sender
aave_v2,0x3bcfabbcb975da59346975162b9c12d62466c315,sender
aave_v2,0x792f827320205caf38070d97aa8213e1948ddd3e,sender
aave_v2,0x6dd6e20a0969782468718d5d8f35defd3d2f1db3,sender
aave_v2,0x8a07236a35b1553a2069b75f599a899ce198cb92,sender
compound_v2,0xfa8897515452c86f496e68f4ab0a4f6a130d3e87,sender
compound_v2,0x228c1334fc57eb6e02ecc448e749a041124321c1,sender
compound_v2,0x7de2e552e01c0e62ab3c3345be9186b7d999a65b,sender
compound_v2,0x52e2be5ec8b4ec8307c90b0acf5cecf93470e4e4,sender
aave_v2,0xdca51787f58c18fb8f613a27b84b108324ac4c52,sender
compound_v2,0x17e52f38fe8a779005b714b0300b90df7610e269,sender
compound_v2,0x288c7b4b60f08a969c86f9ba8161456b44ab24b3,sender
aave_v2,0x3520124ffb73e81672547e008404ee324edef5de,sender
compound_v2,0xc5e19a64b8fe7dc0fe8a2447b262cd4e85180c35,sender
compound_v2,0xc99a1461ef5c2d966e91c3f241618eaa4bcf76cb,sender
compound_v2,0xa64a5fc0f966da5da58f887ab70f4b9c4a8e475c,sender
compound_v2,0x37538339a572a6ab67fdec8862b017d087b34c64,sender
aave_v2,0x36f7804249182037335d41eebb462eefb30dc96a,sender
compound_v2,0x280bf69d522bbcfb3aeb138c59d85a16e449057c,sender
compound_v2,0x5fa079b02c336d6858d3684518331507ccb108eb,sender
compound_v2,0xb1fcf595c405e5d501e8040640cb8cf82d152212,sender
compound_v2,0xdb5ac83c137321da29a59a7592232bc4ed461730,sender
aave_v2,0x087097e0d5d5861ee9277a967ae4b72ad562d5ff,sender
aave_v2,0xd6ddebd4aade736cb5b26bd0bcdcf30680c514b5,sender
aave_v2,0x8d12b8c3bef358d1901d891a74fa801aba2b79b0,sender
compound_v2,0x889abdd2bc0f3a884e607279ba132501698fbcd5,sender
compound_v2,0x63d8bc85419e377ccadc367b6e7e35df2ebac0b0,sender
aave_v2,0x554b1bd47b7d180844175ca4635880da8a3c70b9,sender
