owner,proto,tenure_days
0xfd829e951f6681e7d226713222e369198836c92d,aave_v2,637
0xc033dd6c312407ce5e8f0a199088c50b3b83bc47,aave_v2,637
0x9c315f913a8a88836a1371d8007bc3ea613d033c,aave_v2,635
0xa59c963ad0fb3e3544dc902f5c72ce4b38c7f7fb,aave_v2,624
0x910b21abc15309ce41bc55458ca321d9c401e06d,aave_v2,626
0x65b16e1d3022b3ab1ff295d8eecf98523eb47cd2,aave_v2,624
0x4bf0e392065eeb8f092d25879cbc52713a176f15,aave_v2,644
0x19b29ae23a772625de7c7d0c0e6ab8a2834a6f4d,aave_v2,623
0xf2aba42dcff6f912a2a6b4a52c279ad3246b17b9,aave_v2,657
0x26067fdd92cb0e64de0861992df7e183ee66b80b,aave_v2,617
0xf51ee4c49891f31366570b7f098e9c86ccccbd47,aave_v2,638
0x68b0ab689dd913706ec35cbacb2e1baa84adc592,aave_v2,719
0x37aba65fea61ca66cfb421e8a90785c78be31ed1,aave_v2,617
0x081842973e49af1bb54c63a5561171f9bc33ba49,aave_v2,657
0x4f2769e87c7d96ed9ca72084845ee05e7de5dda2,aave_v2,675
0x859eb852e93ecc12f24790ab764f98a571b9757d,aave_v2,747
0x73204d6d98a6475520f8b2ba2128a1a6dc2bb3d4,aave_v2,408
0x1b2e6c79a0b9a1f19234d45d9a8db9ee57bc0b14,aave_v2,634
0x77c43b2e3768673470390ad9ca7200969dc2332e,aave_v2,624
0x48d74d69a293c32b9fec25be57eb4dd01e060430,aave_v2,531
0xc6667fbc8bc22a23bf9c7b30e8506df44b08a6ab,aave_v2,567
0x6ee43ebbf8cb81805cfdf7b8feed0777726ec55a,aave_v2,440
0xe47086c70cd9b10e7d27dca04308008d47c059a7,aave_v2,379
0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,aave_v2,602
0x41374b389772d5aed41240a57f5ffb087c6bfa93,aave_v2,681
0x3d1d8735c69179793af35068f6fa3a28dc900309,aave_v2,480
0xb73fac0d913a28cd2db7eb42f763cb486f11fe8b,aave_v2,470
0x761ad2330c9d5d8b53b3d702c7c8601a23e639d9,aave_v2,354
0x688e7b66eda69392f76a2f5b6ec989aa113c11e6,aave_v2,590
0x5acabc3222a7b74884bec8efe28a7a69a7920818,aave_v2,586
0x4e229cb11340eee5e87fcce42d79cc679f373c8f,aave_v2,711
0x4307c53baa46042ec2514da8116fcc5f12b9d418,aave_v2,575
0xafbea85f4d132cf6cdb124decdd7a915f2a47956,aave_v2,785
0x430d4ce1e55023fd75ee1bd0adeb166a9f2071d4,aave_v2,681
0x2b1683a4340de00c9301a29cccfd182f6843849f,aave_v2,680
0xcd262b16421ac23d13d345e4e08875374d5235bf,aave_v2,681
0x9bf2ba064a7bea4f06859beaddaf1852bdb42849,aave_v2,674
0x76dfe68c3f3b5ff0e3636ffc18b84b5653450569,aave_v2,719
0x09b21c2720a99887f817c9e7586055176868c428,aave_v2,692
