owner,wd_time,n_sells_72h,usd_sold_72h,first_sell_time,dumped
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,2023-03-09 19:37:35.000 UTC,10457,1167984440.8413024,2023-03-09 19:37:35.000 UTC,1
0xc79c30ef1941002c54293a028cf252dfb0ddd2aa,2023-03-10 07:19:35.000 UTC,1072,699850554.3406368,2023-03-10 07:19:35.000 UTC,1
0x000000000dfde7deaf24138722987c9a6991e2d4,2023-03-11 18:18:47.000 UTC,1808,311726285.74677676,2023-03-11 18:18:47.000 UTC,1
0x05656db19ec9ff8dfb437475b3d76ca9a29e968f,2023-03-09 15:31:59.000 UTC,126,286964741.32792044,2023-03-09 15:31:59.000 UTC,1
0x00000000032962b51589768828ad878876299e14,2023-03-10 07:13:11.000 UTC,75,181866829.8384237,2023-03-10 07:13:11.000 UTC,1
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,2023-03-09 21:58:11.000 UTC,4215,176656599.6723638,2023-03-09 21:58:11.000 UTC,1
0xdecf04ca46d287b3cb99692ad512e568ba276140,2023-03-09 21:11:35.000 UTC,2176,152258087.15247622,2023-03-09 21:11:35.000 UTC,1
0x2a9152d882ba3fc4265d47447a7a00970f90a25e,2023-03-11 00:06:11.000 UTC,32,133905643.73300464,2023-03-11 00:06:11.000 UTC,1
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,2023-03-09 19:00:35.000 UTC,1037,125958367.97103791,2023-03-09 19:24:11.000 UTC,1
0x795fd0c1fa746b83ee568544a6f3e67c091c8954,2023-03-09 01:23:23.000 UTC,87,63775954.6007148,2023-03-09 01:23:23.000 UTC,1
0xbcb742aadb031de5de937108799e89a392f07df1,2023-03-11 05:17:35.000 UTC,2,25195238.834652223,2023-03-11 06:46:23.000 UTC,1
0xaf8583006743da1ba9b391841cc766767f7a2a84,2023-03-09 23:21:11.000 UTC,24,13175382.259975372,2023-03-09 23:21:11.000 UTC,1
0xb5c4402ff7cbe97785dddc768c4e3a4f033474fb,2023-03-12 01:18:23.000 UTC,3,7074661.119399573,2023-03-12 07:29:47.000 UTC,1
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,2023-03-10 03:08:59.000 UTC,1,7043213.803640673,2023-03-11 06:34:11.000 UTC,1
0xd8c07491caa1edf960db3ceff387426d53942ea0,2023-03-11 23:33:47.000 UTC,68,5584804.793591917,2023-03-12 01:37:59.000 UTC,1
0x65b86d1dc66dd87704a0613052ff997772307714,2023-03-12 19:15:47.000 UTC,6,3843984.345199599,2023-03-12 19:15:47.000 UTC,1
0xc37704a457b1ee87eb657cae584a34961e86acac,2023-03-09 06:03:59.000 UTC,8,3834323.466350486,2023-03-10 01:05:23.000 UTC,1
0x97e6e0a40a3d02f12d1cec30ebfbae04e37c119e,2023-03-09 13:36:59.000 UTC,2,3630393.6834134622,2023-03-11 00:16:47.000 UTC,1
0xfd245eb623ca59617cfc22b9d02ed98feff10a84,2023-03-13 23:24:59.000 UTC,5,3255816.7414399525,2023-03-13 23:45:35.000 UTC,1
0xa7888f85bd76deef3bd03d4dbcf57765a49883b3,2023-03-10 19:27:59.000 UTC,4,2585526.126066855,2023-03-10 19:52:35.000 UTC,1
0x06404d6684a4f0a1f83967612f93af857113b884,2023-03-10 12:20:35.000 UTC,8,2213213.828480486,2023-03-11 05:21:23.000 UTC,1
0xad0fc281ac377794fa417e76d68788a56e3040f0,2023-03-12 03:06:11.000 UTC,5,2098397.798331684,2023-03-14 19:50:59.000 UTC,1
0xd781f6e33e0ab497979f2e63e517bb16b5cc0843,2023-03-12 03:40:59.000 UTC,7,1971188.937158169,2023-03-12 03:43:35.000 UTC,1
0x6cfdad0772edc2ea15076a9706ec7c1f0a791ac1,2023-03-12 06:31:23.000 UTC,10,1819679.262037527,2023-03-12 06:32:23.000 UTC,1
